What is your Age?,What is your Gender?,"With respect to interpersonal relationships, would you describe yourself as trusting or cautious?","Based on your previous answer, why do you think it is important to be trusting or cautious with respect to others? (Be as detailed as you like in your response)"
18-25,Female,Cautious,My answer is in retrospect to my upbringing and the world we grew up in. Our world is a little rough to be too trusting.
18-25,Female,Cautious,Because it takes years I feel to truly trust someone and that no one stays in your life forever so you have to be ready to lose them at anytime.
26-35,Male,Trusting,"I see that it is important to be a little of each, as healthy as possible, without excesses.
I believe the key is to be careful until you know you can trust the person completely."
36-50,Male,Cautious,I've had too many disappointments
18-25,Other,Cautious,"I suppose when it comes down to it I'm cautious because I don't know what the other person is thinking. It doesn't mean that I'm not trusting of other people, but I don't want to overwhelm new people I meet. For people I've known for a while, I'm more likely to be honest with them as I've known them long enough to trust them with my inner thoughts (as out there as they can be at times). Basically, we're all just going through life and I just want to make sure I'm nice and polite with everyone I meet"
36-50,Male,Cautious,because nowadays you can't have a blind trust !!
26-35,Female,Trusting,I tend to trust people because I tend to surround myself with people I believe I can trust. I would rather trust and occasionally have my trust broken than to never feel close to people because I have a hard time trusting them.
less than 18,Prefer not to say,Trusting,So You Can Always Be Trusted Cause Its Hard Get Trust
less than 18,Male,Cautious,If you always be trusting then just one little lie can upset your life that's why you need to be cautious with other people
less than 18,Male,Trusting,"If you know someone well enough, you should be able to count on them and know that they won't go around screaming about something you told them at the top of their lungs.(I didn't really know how to respond to this, so sorry if my answer makes no sense.)"
18-25,Female,Cautious,"Honestly, Think just depends on how the person was raised. For an example, im more cautions around others due to being raised by two narcissistic people. My fiance in the other hand he was raised in loving household and he tends to be more trusting with others. "
18-25,Male,Cautious,"It's important to be cautions, because if you would trust everybody, you can get in really big trobles, like loosing important information, and getting abused or even have risk for your life. And some persons sometimes behind the mask of humanity brings danger. "
18-25,Female,Cautious,"There are so many different motivations people have, and with them, many different opportunities for them to want to hurt others. It's safer just to avoid people who ask anything of you, just in case that leads to them taking advantage of you."
36-50,Male,Trusting,"Caution is valuable. I tend to trust more at first as I've witnessed too many good people get sidelined because of a perceived abnormality. So, I get to know people as I would anyone. Sometimes it backfires and that's stressful. But most of the time, you find a lot of redemption and opportunity in people. "
36-50,Female,Trusting,"I’ve never considered the importance of the matter. I am equally naive and aware of the dangers of having trust in partners of interpersonal relationships. Yet it is in my nature, and also my desire to do so. I’ve been hurt as many times as I’ve been loved and would never change."
26-35,Male,Cautious,"Pienso que es más preferible ser cauteloso pues uno no puede saber quién o cuál es la intensión de las personas con los que uno debe estar en la página,siempre hay que aclarar las intenciones y el objetivo de todo lo que unos sube o comparte en las redes."
